Project URL,City,State/Province,Country,City Organizer(s),Collaborating Organizations - pending//
#,Ahmedabad,Gujarat,India,Ahmedabad University,…//
#,Albuquerque,New Mexico,USA,University of New Mexico; Geography & Environmental Studies,…//
#,Alexandria,Virginia,USA,Napoli,…//
#,Alexandria/Pineville,Louisiana,USA,Cenla (Central La) Master Naturalists,…//
#,Amarillo,Texas,USA,Texas Master Naturalist,…//
#,Ann Arbor,Michigan,USA,City of Ann Arbor,…//
#,Atlanta,Georgia,USA,Fernbank Museum of Natural History,…//
#,Austin,Texas,USA,Texas Master Naturalist,…//
#,Baltimore,Maryland,USA,National Aquarium,…//
#,Barcelona,Barcelona,Catalonia,CREAF-UAB; ICM-CSIC,…//
#,Birmingham,Alabama,USA,Alabama Museum of Natural History,…//
#,Blacksburg,Virginia,USA,Town of Blacksburg,…//
#,Bogotá ,Cundinamarca,Colombia,Humboldt Institute,…//
#,Boston,Massachusetts,USA,Encyclopedia of Life; Harvard University; Zoo New England,…//
#,Boulder,Colorado,USA,WILD Foundation,…//
#,Brasilia,Distrito Federal,Brazil,ICMBio,…//
#,Bristol & Bath City Region,Somerset / Gloucestershire,United Kingdom,The Natural History Consortium,…//
#,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,GBIF Argentina; Museo Argentino de Ciencias Naturales MACN-CONICET,…//
#,Calgary,Alberta,Canada,University of Calgary,…//
#,Cancún,Quintana Roo,México,Naturalista / CONABIO,…//
#,Canton,Ohio,USA,Stark Parks,…//
#,Catania,CT,Italy,Ente Fauna Marina Mediterranea,…//
#,Cd. Victoria,Tamaulipas,Mexico,Comision de Parques y Biodiversidad deL Estado de Tamaulipas,…//
#,CDMX,Ciudad de México,México,CONABIO,…//
#,Charlotte Metro Region,North Carolina,USA,North Carolina Wildlife Federation; City of Concord; NC; Cabarrus County Active Living and Parks,…//
#,Charlottesville,Virginia,USA,The Nature Conservancy Virginia Chapter,…//
#,Chiayi,Chiayi,Taiwan,Department of Biological Resources. National Chiayi University,…//
#,Chicago Wilderness Region,Illinois,USA,Whimbrel Birders Club; Department of Geography and Environmental Studies; Northeastern Illinois University        ,…//
#,Chihuahua,Chihuahua,MEXICO,Naturalista/CONABIO,…//
#,Cleveland,Ohio,USA,Cleveland Museum of Natural History,…//
#,Colorado Springs,Colorado,USA,City of Colorado Springs - Parks; Recreation and Cultural Services Department,…//
#,Concepción,BioBio,Chile,Universidad de Concepción,…//
#,Coppell,Texas,USA,Biodiersity Education Center,…//
#,Corpus Christi,Texas,USA,City of Corpus Christi; Oso Bay Wetlands Preserve,…//
#,Dallas/Fort Worth,Texas,USA,Texas Parks and Wildlife,…//
#,Davis; CA,California,USA,UC Davis; UC Agriculture and Natural Resources - California Naturalist program,…//
#,Denver,Colorado,USA,Colorado Parks and Wildlife,…//
#,Duluth,Minnesota,USA,Minnesota Sea Grant,…//
#,El Paso,Texas,USA,Texas Parks & Wildlife,…//
#,Ensenada,Baja California,Mexico,Fauna del Noroeste; A.C.,…//
#,Eugene-Springfield,Oregon,USA,The Nature Conservancy - Oregon Chapter,…//
#,Fort Collins,Colorado,USA,City of Fort Collins Natural Areas Dept - Nature in the City Program,…//
#,Georgetown    ,Penang,Malaysia,The Habitat Penang Hill,…//
#,Golden,Colorado,USA,Compass Montessori High School,…//
#,Hermosillo,Sonora,Mexico,Naturalista-CONABIO,…//
#,Houston,Texas,USA,Texas Parks & Wildlife,…//
#,Indianapolis,Indiana,USA,Indiana Sciences,…//
#,Karlovac,Karlovac,Croatia,Amateur Scientist NGO,…//
#,Kuala Lumpur / Klang Valley Metro,Selangor,Malaysia,Rimba Ilmu Botanic Garden; The Rimba Project,…//
#,La Paz,La Paz,Bolivia,Wildlife Conservation Society,…//
#,La Plata,Buenos Aires,Argentina,Facultad de Ciencias Naturales y Museo; Universidad Nacional de La Plata,…//
#,Lafayette,Louisiana,USA,CENLA (Central La) Master Naturalists,…//
#,Lake Charles,Louisiana,USA,Southwest Louisiana Master Naturalists,…//
#,Lansing,Michigan,USA,Fenner Nature Center,…//
#,Lecce,Lecce,Italy,WWF Salento,…//
#,Lima,Lima,Peru,Universidad Nacional Agraria La Molina,…//
#,Liverpool City Region,Merseyside,United Kingdom,Merseyside BioBank,…//
#,Logan,Utah,USA,Bee Biology and Systematics Lab,…//
#,Los Angeles County,California,USA,Natural History Museum of Los Angeles County,…//
#,Lower Rio Grande Valley,Texas,USA,Texas Parks & Wildlife,…//
#,Luxembourg,Luxembourg,Luxembourg,Museum of Natural history Luxembourg,…//
#,Madrid,Community of Madrid,Spain,Royal Botanic Garden - GBIF Spain,…//
#,Manhattan,Kansas,USA,Wildlife Society Club at Kansas State Univeristy,…//
#,Maui,Hawaii,USA,Maui Nui Natural History,…//
#,Mazatlán,Sinaloa,Mexico,Paco´s Flora and Fauna Natural Reserve,…//
#,Medellín,Antioquía,Colombia,Medellín Botanical Garden,…//
#,Medford; Winchester and Somerville,Massachusetts ,USA,Earthwise Aware,…//
#,Miami,Florida,USA,Mountain to Sea Education; Florida International University ,…//
#,Minneapolis/St. Paul,Minnesota,USA,University of Minnesota Extension,…//
#,Monterrey,Nuevo Leon,Mexico,Naturalista/CONABIO,…//
#,Nairobi,Nairobi County,Kenya,Greater Nairobi RCE; Wild World Expeditions Kenya; National Museums of Kenya; Kenyatta University; United States International University-Africa,…//
#,Naples,Metropolitan City of Naples,Italy,Società dei Naturalisti in Napoli,…//
#,Nashville,Tennessee,USA,Cumberland River Compact,…//
#,New Orleans,Louisiana,USA,Louisiana Master Naturalists of Baton Rouge,…//
#,New York City,New York,USA,Macaulay Honors College; CUNY; Wildlife Conservation Society (WCS) Bronx Zoo,…//
#,Newcastle upon Tyne (and surrounding area),Tyne and Wear,UK,Tyne and Wear Archives and Museums,…//
#,Newport News,Virginia,USA,The Mariners' Museum and Park,…//
#,Omaha,Nebraska,USA,Omaha STEM Ecostyem; Omaha's Henry Doorly Zoo & Aquarium,…//
#,Ostuni,Brindisi,Italy,Parco Regionale delle Dune Costiere fra Torre Canne e Torre san Leonardo,…//
#,Padova,Padova,Italy,Sapienza University of Rome,…//
#,Pamplona - Iruña,Navarra,Spain,TerraBiota-Ciencia Viva,…//
#,Panamá,Panamá,Panamá,Sociedad Audubon de Panamá,…//
#,Philadelphia,Pennsylvania,USA,Academy of Natural Sciences,…//
#,Pittsburgh,Pennsylvania,USA,Allegheny Land Trust; Carnegie Museum of Natural History,…//
#,Port Harcourt,Rivers,Nigeria,Centre for Environment; Human Rights and Development,…//
#,Prague,Prague,Czech Republic,National Museum,…//
#,Quito,Pichincha,Ecuador,Natura Diversa; Universidad Tecnologica Indoamerica; Instituto Nacional de Biodiversidad INABIO,…//
#,Raleigh,North Carolina,USA,North Carolina Museum of Natural Sciences,…//
#,Recife,Pernambuco,Brazil,Universidade de Pernambuco,…//
#,Richmond,British Colombia,Canada,Richmond School District,…//
#,Rome,Lazio,Italy,Sapienza University of Rome,…//
#,Sacramento,California,USA,University of California Davis; Center for Community and Citizen Science; University of California Division of Agriculture and Natural Resources; UC California Naturalist,…//
#,Salt Lake City/Wasatch Front; Utah,Utah,USA,Natural History Museum of Utah,…//
#,San Antonio,Texas,USA,Texas Parks & Wildlife,…//
#,San Diego County,California,USA,San Diego Natural History Museum,…//
#,San Francisco Bay Area,California,USA,California Academy of Sciences,…//
#,Seattle-Tacoma Metropolitan Area,Washington,USA,Point Defiance Zoo & Aquarium; Woodland Park Zoo; MetroParks Tacoma,…//
https://www.earthwiseaware.org,Somerville; MA + Middlesex Fells Reservation (intersects several MA towns),Massachusetts,USA,Earthwise Aware (www.earthwiseaware.org),…//
#,Spartanburg,South Carolina,USA,Tyger River Foundation,…//
#,St. Louis Metro Area,Missouri,USA,City of St. Louis; BiodiverseCity St. Louis,…//
#,Tallahassee,Florida,USA,Florida Fish and Wildlife Conservation Commission,…//
#,Taranto,Taranto,Italy,Riserva Regionale Naturale Orientata \”Palude la Vela\”,…//
#,Tokyo,Tokyo,Japan,Tokyo City University/ Biodiversity Academy ,…//
#,Torreon,Coahuila,MEXICO,Naturalista/CONABIO,…//
#,Trento,Trentino,Italy,Muse,…//
#,Trinitapoli,Barletta-Andria-Trani,Italy,L'Airone onlus- Casa di Ramsar,…//
#,Tulsa,Oklahoma,USA,Tulsa Regional STEM Alliance,…//
#,Tuxtla Gutierrez,Chiapas,México,Naturalista- CONABIO,…//
#,Virginia Beach; Newport News;VA (Hampton Roads metropolitan area),Virginia,USA,The Nature Conservancy,…//
#,Warsaw,Mazovia,Poland,Constans PR,…//
#,Washington,Maine,USA,Maine Science Festival,…//
#,Washington; D.C. Metropolitan Area,District of Columbia,USA,The Nature Conservancy; D.C. Regional Citizen Science Network; Tudor Place Historic House & Garden; Capital Nature (formerly Biophilic D.C.),…//
#,Wilmington,Delaware,USA,Delaware Museum of Natural History ,…//
#,Youngstown,Ohio,USA,Environmental Collaborative of Ohio,…//
#,Zagreb,Zagreb,Croatia,Amateur Scientist NGO,…//